Fecha,et,dia,reconstruida_et,ajustados_et
2020-10-25,4.757488,299,4.153905348355538,3.4231423093433393
2020-10-26,4.479647,300,3.9870697683679786,3.4025988124114535
2020-10-27,3.8246887,301,3.8440195029871167,3.3823408969611446
2020-10-28,3.4376745,302,3.748978870524085,3.3623745240334486
2020-10-29,3.466666,303,3.7073311751522673,3.342705568880861
2020-10-30,3.6822596,304,3.7057618674436146,3.323339819238506
2020-10-31,3.6230059,305,3.7185366945186797,3.3042829736210497
2020-11-01,4.047064,306,3.71763979657758,3.2855406396458706
2020-11-02,3.7740169,307,3.683292273471345,3.2671183323829744
2020-11-03,3.4678304,308,3.6113163665485906,3.2490214727321494
2020-11-04,3.570523,309,3.514904574185571,3.231255385827822
2020-11-05,3.2488813,310,3.420225637302978,3.2138252994721004
2020-11-06,3.1133516,311,3.357333838424259,3.1967363425964486
2020-11-07,3.4696665,312,3.3493858092382878,3.1799935437524707
2020-11-08,3.7389631,313,3.4037222565428413,3.163601829632215
2020-11-09,3.6942763,314,3.5077771626378063,3.147566023618456
2020-11-10,3.6749346,315,3.631240481893408,3.1318908443653886
2020-11-11,3.3632276,316,3.73392436894384,3.116580904410121
2020-11-12,3.6315463,317,3.7769987117688664,3.1016407088154043
2020-11-13,3.561984,318,3.7342256786770767,3.087074653843986
2020-11-14,3.959639,319,3.599842691035448,3.072887025664973
2020-11-15,3.415752,320,3.3907873410196703,3.0590819990926006
2020-11-16,2.7648087,321,3.1426761949388746,3.045663636357755
2020-11-17,3.1786714,322,2.9007937574278793,3.032635885912641
2020-11-18,2.901399,323,2.7087503872306233,3.020002581268913
2020-11-19,2.8776996,324,2.5980202250774647,3.0077674398696406
2020-11-20,2.870911,325,2.5811446659910415,2.9959340619954213
2020-11-21,1.5097795,326,2.650164863902161,2.984505929704974
2020-11-22,2.6818304,327,2.780247283576942,2.9734864058105126
2020-11-23,2.9543557,328,2.9370027162650585,2.9628787328882202
2020-11-24,3.660641,329,3.0851115227886634,2.952686032324089
2020-11-25,3.239101,330,3.195786369920583,2.9429113033954386
2020-11-26,3.391577,331,3.2512858146585772,2.9335574223883505
2020-11-27,3.4935055,332,3.245850913539041,2.9246271417513006
2020-11-28,3.0235465,333,3.1836488273028203,2.9161230892852323
2020-11-29,2.3339942,334,3.0751598300228506,2.908047767370307
2020-11-30,2.8013866,335,2.933675269875811,2.9004035522295584
2020-12-01,2.8570473,336,2.7731556791118366,2.89319269322967
2020-12-02,3.035045,337,2.6078369459245456,2.8864173122190886
2020-12-03,3.1695628,338,2.453029202488171,2.8800794029036476
2020-12-04,2.1427379,339,2.3259100240061628,2.8741808302599097
2020-12-05,1.6662632,340,2.245034222277074,2.8687233299863806
2020-12-06,1.9348938,341,2.2278139822638003,2.8637085079927673
2020-12-07,2.3296967,342,2.2861744740855485,2.85913783992743
2020-12-08,2.5429492,343,2.421596568104168,2.8550126707431565
2020-12-09,2.8495007,344,2.6214098913474952,2.8513342143014047
2020-12-10,3.183311,345,2.858191190285426,2.8481035530151146
2020-12-11,3.002376,346,3.093374250778943,2.8453216375301977
2020-12-12,2.7924254,347,3.284877664196158,2.8429892864458024
2020-12-13,3.479962,348,3.3971161472447147,2.8411071860734385
2020-12-14,3.5728996,349,3.4106820713427277,2.839675890235022
2020-12-15,3.412019,350,3.3286892738028726,2.8386958200999097
2020-12-16,3.5114095,351,3.1774501923680027,2.838167264060968
2020-12-17,1.9972345,352,3.0006809474778513,2.838090377649709
2020-12-18,3.1500938,353,2.8483697262548704,2.838465183490527
2020-12-19,3.0705433,354,2.763198492162664,2.839291571294039
2020-12-20,3.0296075,355,2.768388237639451,2.8405692978895383
2020-12-21,2.4000187,356,2.8606678581139824,2.8422979872965497
2020-12-22,3.176904,357,3.0107217158732733,2.8444771308354664
2020-12-23,3.173699,358,3.1713076734960643,2.8471060872772287
2020-12-24,4.0296674,359,3.2908984870640308,2.8501840830320138
2020-12-25,2.6660366,360,3.3289189622636943,2.853710212376869
2020-12-26,2.7256522,361,3.268019790102014,2.857683437722227
2020-12-27,2.910434,362,3.1195949100292624,2.8621025899172263
2020-12-28,3.0492783,363,2.920723391181546,2.8669663685937383
2020-12-29,3.2572699,364,2.7233161555244907,2.8722733425490143
2020-12-30,3.2270954,365,2.578669723480988,2.8780219501668274
2020-12-31,2.7397149,366,2.5221032838293276,2.8842104998769855
2021-01-01,1.9726495,367,2.5623936502286773,2.8908371706530938
2021-01-02,2.1675684,368,2.6792843270489244,2.8979000125483987
2021-01-03,2.7211804,369,2.8298606153069983,2.9053969472695824
2021-01-04,2.894043,370,2.9618255477044815,2.913325768788307
2021-01-05,2.9014256,371,3.029553727758364,2.9216841439903627
2021-01-06,3.4185712,372,3.007933040428337,2.930469613362196
2021-01-07,3.3227746,373,2.899711801376358,2.93967959171465
2021-01-08,2.913644,374,2.73413170178896,2.949311368943664
2021-01-09,1.9618825,375,2.557388296259327,2.9593621108277475
2021-01-10,3.4790964,376,2.418036958320627,2.9698288598619724
2021-01-11,1.6170467,377,2.3520278401850643,2.980708536128237
2021-01-12,1.6566004,378,2.372109755959741,2.991997938201556
2021-01-13,2.285648,379,2.464880493783938,3.003693744092102
2021-01-14,2.7291763,380,2.596262056711549,3.0157925122227307
2021-01-15,3.2601416,381,2.7234593817718062,3.028290682441684
2021-01-16,3.0168748,382,2.8094020107293494,3.0411845770701937
2021-01-17,2.8290217,383,2.8349299698665638,3.0544704019846654
2021-01-18,3.426143,384,2.8047921421587305,3.0681442477331267
2021-01-19,2.8763714,385,2.745597007594373,3.082202090685615
2021-01-20,0.9476828,386,2.696502805677915,3.096639794218155
2021-01-21,2.9962535,387,2.6957892885630255,3.111453109929999
2021-01-22,2.94989,388,2.7677554373307536,3.12663767889374
2021-01-23,3.094478,389,2.9142293931577528,3.1421890329379663
2021-01-24,3.0904105,390,3.1134316254905126,3.15810259596205
2021-01-25,3.7856183,391,3.326521771493221,3.1743736852826996
2021-01-26,3.6449986,392,3.5096759938004785,3.190997513011874
2021-01-27,3.9512694,393,3.6277856615518695,3.2079691874656544
2021-01-28,2.6689403,394,3.6653893146800836,3.225283714603654
2021-01-29,3.2968965,395,3.6313758329594163,3.2429359994985627
2021-01-30,3.7822804,396,3.5560032311017653,3.2609208478353517
2021-01-31,4.076692,397,3.4812052900143042,3.27923296743975
2021-02-01,3.4095147,398,3.4472338959663147,3.297866969835502
2021-02-02,3.3271246,399,3.479770404582715,3.316817371829966
2021-02-03,3.5053077,400,3.5814283537606513,3.3360785971275844
2021-02-04,3.7393177,401,3.7301707362585734,3.35564497797075
2021-02-05,3.9017155,402,3.885048323917988,3.3755107568075897
2021-02-06,4.0259204,403,3.9975001647770587,3.395670087986158
2021-02-07,3.9814084,404,4.024893791129706,3.4161170394745692
2021-02-08,3.926288,405,3.9424545128028696,3.436845594606539
2021-02-09,3.4962718,406,3.7503388582868724,3.4578496538518353
2021-02-10,3.964872,407,3.4741029843229274,3.4791230366111083
2021-02-11,3.654202,408,3.1587147700174896,3.500659483034576
2021-02-12,2.1529996,409,2.857990385808678,3.522452655864039
2021-02-13,2.1507113,410,2.6224281997598498,3.5444961422976524
2021-02-14,2.7123795,411,2.488614013847896,3.56678345587695
2021-02-15,2.503995,412,2.472704599458557,3.5893080383955303
2021-02-16,2.5289721,413,2.5692230123167508,3.6120632618288546
2021-02-17,3.586247,414,2.7549202570400424,3.6350424302845954
2021-02-18,2.9841359,415,2.9961872327083547,3.6582387819729503
2021-02-19,2.6174877,416,3.2577513115537076,3.6816454911963454
2021-02-20,3.5322924,417,3.5103049755938054,3.70525567035796
2021-02-21,4.0791407,418,3.7352453658219407,3.729062371988434
2021-02-22,3.164777,419,3.9256583005101664,3.753058590790225
2021-02-23,4.2213087,420,4.083778971338779,3.7772372656989646
2021-02-24,4.4191594,421,4.216116185341548,3.8015912819612296
2021-02-25,4.4432178,422,4.328006961363359,3.82611347322811
2021-02-26,4.512055,423,4.419444891975618,3.8507966236639577
2021-02-27,4.7140613,424,4.483592828539458,3.8756334700697104
2021-02-28,4.776838,425,4.508561650381001,3.900616704020124
2021-03-01,4.755839,426,4.482021809841174,3.925738974014343
