Fecha,SRF,arima_predicts
2023-05-19,22130264.0,24124093.530313626
2023-05-20,17281324.0,22432482.58416063
2023-05-21,19917662.0,18008132.75513441
2023-05-22,25008272.0,19522500.678166047
2023-05-23,27587700.0,24245239.271821305
2023-05-24,26405948.0,27201068.93142855
2023-05-25,25544068.0,26583081.084756173
2023-05-26,25804816.0,25673255.39557001
2023-05-27,24171654.0,25765732.421056192
2023-05-28,25247548.0,24416449.03564755
2023-05-29,22975828.0,25086281.99571936
2023-05-30,25901100.0,23316336.6442014
2023-05-31,26667050.0,25462630.293064147
2023-06-01,20370856.0,26552241.574654415
2023-06-02,15850596.0,21314593.997010633
2023-06-03,15134578.0,16528138.832760122
2023-06-04,21302342.0,15241902.106141513
2023-06-05,25495088.0,20377854.40584482
2023-06-06,26717406.0,24866636.317600388
2023-06-07,26366572.0,26534192.467978902
2023-06-08,22760568.0,26419158.590636063
2023-06-09,24808490.0,23301072.786252193
2023-06-10,22970968.0,24501526.490566522
2023-06-11,25239720.0,23246394.604031414
2023-06-12,27184126.0,24899656.230015486
2023-06-13,28162702.0,26892678.52811215
2023-06-14,29299480.0,28016023.013589688
2023-06-15,29135190.0,29129088.07866375
2023-06-16,29175270.0,29159815.466675404
2023-06-17,28876372.0,29169262.39938919
2023-06-18,28747056.0,28921173.891401455
2023-06-19,29139326.0,28766439.205603484
2023-06-20,29118482.0,29080528.55759474
2023-06-21,29077898.0,29121606.312054187
2023-06-22,28548760.0,29083981.145289153
2023-06-23,27888488.0,28628072.61906196
2023-06-24,27138000.0,27987456.325112313
2023-06-25,27191324.0,27250490.822535094
2023-06-26,27318432.0,27183331.253119487
2023-06-27,28119038.0,27299379.752034955
2023-06-28,26666782.0,27999034.97867717
2023-06-29,24247164.0,26884460.992830697
2023-06-30,22088014.0,24609841.110147953
2023-07-01,22952684.0,22411649.50046989
2023-07-02,26655072.0,22823078.410674896
2023-07-03,26489164.0,26100120.19335678
2023-07-04,26755168.0,26514031.98907531
2023-07-05,25791240.0,26715296.59798208
2023-07-06,20475886.0,25935723.394250948
2023-07-07,14824709.0,21272605.659108736
2023-07-08,23206770.0,15671765.247430205
2023-07-09,24655394.0,21950380.908596378
2023-07-10,23826200.0,24438259.4085021
2023-07-11,26247430.0,23950488.083355315
2023-07-12,27092378.0,25884511.26679355
2023-07-13,28005392.0,26965728.545885634
2023-07-14,27321364.0,27868540.11716369
2023-07-15,27482384.0,27423893.117530238
