Fecha,srf,srf_arima
2022-02-10,13991209.0,18002587.547171596
2022-02-11,12563494.0,14828513.530875446
2022-02-12,19001298.0,12773399.730794966
2022-02-13,14271219.0,18054798.20603919
2022-02-14,15644449.0,14966645.390570194
2022-02-15,20459898.0,15442553.771120586
2022-02-16,20502460.0,19751920.328370232
2022-02-17,20779374.0,20496202.44319483
2022-02-18,21101308.0,20738661.507984888
2022-02-19,11808085.0,21053976.57073173
2022-02-20,15812804.0,13174394.638307083
2022-02-21,20970474.0,15224021.597123034
2022-02-22,21087240.0,20212182.26071781
2022-02-23,20792452.0,21070072.811477076
2022-02-24,18566840.0,20835792.365948096
2022-02-25,10748415.0,18894054.264279667
2022-02-26,11582114.0,11897896.663560754
2022-02-27,13286431.0,11459541.77945316
2022-02-28,17204806.0,13035858.648101138
2022-03-01,22065550.0,16628718.077758007
2022-03-02,20675210.0,21350912.96002546
2022-03-03,15807259.0,20879620.777888775
2022-03-04,15502484.0,16522955.628619222
2022-03-05,22183330.0,15547292.676173491
2022-03-06,22058424.0,21201097.648334134
2022-03-07,21115618.0,22076787.9488348
2022-03-08,17522294.0,21254231.36641268
2022-03-09,13036992.0,18050592.22492801
2022-03-10,23046102.0,13696430.749432573
2022-03-11,23766014.0,21574541.1148393
2022-03-12,14513992.0,23660170.988987252
2022-03-13,23770648.0,15874244.178649876
2022-03-14,23726634.0,22409714.52070083
2022-03-15,23765048.0,23733105.032968912
2022-03-16,24207896.0,23759400.29107857
2022-03-17,24129570.0,24142787.534325067
2022-03-18,23418690.0,24141085.65702556
2022-03-19,12055606.0,23523205.10694188
2022-03-20,16785302.0,13726231.055493988
2022-03-21,24364706.0,16089931.918913769
2022-03-22,25455802.0,23250365.718073778
2022-03-23,25202354.0,25295386.718765676
2022-03-24,24144626.0,25239616.47021186
2022-03-25,25926092.0,24300135.446088538
2022-03-26,25949154.0,25664177.0361477
2022-03-27,25827962.0,25945763.375145886
2022-03-28,25400158.0,25845779.90856474
2022-03-29,25050466.0,25463054.664430235
