Fecha,srf,dia,reconstruida_srf,ajustados_srf
2021-04-17,16277807.0,473,18112001.942178357,21883079.985787984
2021-04-18,8444874.0,474,17140882.968315825,21973268.369209386
2021-04-19,18256184.0,475,16941402.05126113,22062827.551494136
2021-04-20,22962506.0,476,17617935.37148047,22151730.776808534
2021-04-21,15051739.0,477,19095724.441136234,22239951.485286225
2021-04-22,20334086.0,478,21110919.73095677,22327463.32096296
2021-04-23,26112388.0,479,23255362.812918443,22414240.139650498
2021-04-24,25656030.0,480,25070271.097681493,22500256.01674712
2021-04-25,26031038.0,481,26165452.50156135,22585485.254982654
2021-04-26,25863154.0,482,26329306.850456886,22669902.392095532
2021-04-27,25095122.0,483,25594303.60820023,22753482.20843966
2021-04-28,26406766.0,484,24234013.498498593,22836199.73451877
2021-04-29,24854210.0,485,22688128.61095107,22918030.258446094
2021-04-30,15110711.0,486,21434902.461356577,22998949.333327025
2021-05-01,14595781.0,487,20848437.01939392,23078932.784562655
2021-05-02,25929628.0,488,21084885.21209244,23157956.717071913
2021-05-03,28361134.0,489,22034131.880194396,23235997.522430267
2021-05-04,27410724.0,490,23353755.305394642,23313031.88592272
2021-05-05,20756080.0,491,24576169.993557498,23389036.793509096
2021-05-06,22232314.0,492,25256204.801815618,23463989.538699485
2021-05-07,21153358.0,493,25112862.562800974,23537867.729337852
2021-05-08,24565358.0,494,24120315.69371838,23610649.29429164
2021-05-09,25712122.0,495,22519128.77918369,23682312.490045566
2021-05-10,22754532.0,496,20744182.920889072,23752835.907197498
2021-05-11,20313130.0,497,19292479.70166705,23822198.476854518
2021-05-12,13446065.0,498,18573126.82403846,23890379.47692725
2021-05-13,21539468.0,499,18787051.503427997,23957358.538320623
2021-05-14,19717078.0,500,19873684.479689356,24023115.651019096
2021-05-15,22027386.0,501,21539541.81040032,24087631.170064703
2021-05-16,22656902.0,502,23356835.329164185,24150885.821425952
2021-05-17,26151950.0,503,24897928.611780945,24212860.707755987
2021-05-18,22701748.0,504,25860972.066269018,24273537.314038135
2021-05-19,26646400.0,505,26146656.89841802,24332897.51311731
2021-05-20,27344478.0,506,25863834.236801356,24390923.571115468
2021-05-21,26462044.0,507,25266431.182340957,24447598.152729657
2021-05-22,23787052.0,508,24647131.63709627,24502904.326410897
2021-05-23,24002242.0,509,24226893.86444598,24556825.569422513
2021-05-24,25187158.0,510,24079163.445988983,24609345.772776306
2021-05-25,22515580.0,511,24114059.550202645,24660449.246045094
2021-05-26,22290314.0,512,24125895.05943621,24710120.722050272
2021-05-27,24597882.0,513,23884918.048466384,24758345.36142285
2021-05-28,27348180.0,514,23238919.826424047,24805108.757036746
2021-05-29,18939874.0,515,22187446.568472482,24850396.938312903
2021-05-30,19303810.0,516,20901497.31992931,24894196.375393003
2021-05-31,22697132.0,517,19680984.640526496,24936493.98318153
2021-06-01,21761106.0,518,18863972.22473007,24977277.12525493
2021-06-02,18636766.0,519,18718252.127265386,25016533.61763676
2021-06-03,11905850.0,520,19351635.01769082,25054251.73243766
2021-06-04,19559606.0,521,20670693.886333518,25090420.201359034
2021-06-05,25038342.0,522,22401228.087459177,25125028.219059486
2021-06-06,27629818.0,523,24163274.424078718,25158065.446382914
2021-06-07,27275884.0,524,25576094.805919692,25189522.013447322
2021-06-08,26127752.0,525,26359912.553627986,25219388.52259347
2021-06-09,25015602.0,526,26403738.399657972,25247656.051192414
2021-06-10,23680002.0,527,25780994.40402132,25274316.154311147
2021-06-11,26499180.0,528,24712149.60460267,25299360.867235526
2021-06-12,21279586.0,529,23490104.808789693,25322782.70784974
2021-06-13,18660806.0,530,22394210.034617256,25344574.678871587
2021-06-14,23997848.0,531,21619707.308489673,25364730.26994291
2021-06-15,24670344.0,532,21241557.627943423,25383243.45957457
2021-06-16,23862098.0,533,21218469.759954773,25400108.716945376
2021-06-17,21495600.0,534,21429456.179196592,25415321.00355443
2021-06-18,20742634.0,535,21726011.42482661,25428875.77472634
2021-06-19,16070553.0,536,21980706.8691703,25440768.98096899
2021-06-20,25438048.0,537,22117561.33509659,25450997.069183286
2021-06-21,24579564.0,538,22118462.26325981,25459556.983724687
2021-06-22,15083833.0,539,22009361.636024207,25466446.167316042
2021-06-23,22187798.0,540,21836387.995858252,25471662.561811604
2021-06-24,24277398.0,541,21643411.615083892,25475204.60881188
