Fecha,SRF,Dia,Reconstruida,Ajustados
2020-09-24,24092610.0,268,24805781.005953066,20076122.12656329
2020-09-25,24211572.0,269,24358428.53437632,19979175.201362465
2020-09-26,22974356.0,270,23654867.30536591,19882185.401091784
2020-09-27,22738310.0,271,22938225.924211152,19785181.71109451
2020-09-28,22025318.0,272,22416464.984256342,19688193.12086482
2020-09-29,23051594.0,273,22207241.040247973,19591248.615384348
2020-09-30,24953878.0,274,22315204.881809726,19494377.166460022
2020-10-01,24601910.0,275,22645784.215682566,19397607.72406585
2020-10-02,18491542.0,276,23047463.595343683,19300969.207691286
2020-10-03,23949630.0,277,23366035.78281705,19204490.497698575
2020-10-04,23866624.0,278,23491916.945372038,19108200.42669196
2020-10-05,23936826.0,279,23385809.89583429,19012127.770901013
2020-10-06,20391038.0,280,23076897.62093202,18916301.241580922
2020-10-07,23382262.0,281,22637952.40705436,18820749.476432104
2020-10-08,21980398.0,282,22149574.118171882,18725501.031041875
2020-10-09,22687164.0,283,21668571.635709465,18630584.370350648
2020-10-10,22407646.0,284,21212545.375636026,18536027.86014514
2020-10-11,22676970.0,285,20765398.251202226,18441859.758581348
2020-10-12,20186182.0,286,20299721.357367247,18348108.20773956
2020-10-13,16103229.0,287,19805131.68156174,18254801.225214135
2020-10-14,19155838.0,288,19309251.030317284,18161966.695740473
2020-10-15,21036958.0,289,18880961.753930256,18069632.36286164
2020-10-16,14730931.0,290,18612707.116891194,17977825.820637282
2020-10-17,19247650.0,291,18587210.764875036,17886574.5053971
2020-10-18,21573482.0,292,18840796.378021818,17795905.687541556
2020-10-19,21085772.0,293,19337856.830197975,17705846.463392127
2020-10-20,18781740.0,294,19967917.548955,17616423.747093566
2020-10-21,20793512.0,295,20569124.098711804,17527664.26257065
2020-10-22,20128612.0,296,20972497.92628445,17439594.535541736
2020-10-23,20541452.0,297,21053337.51106012,17352240.88559157
2020-10-24,19119640.0,298,20772636.08639143,17265629.4183057
2020-10-25,21044810.0,299,20193775.71101189,17179786.017468818
2020-10-26,20290254.0,300,19467427.21577718,17094736.337329447
2020-10-27,20069754.0,301,18788046.222458616,17010505.79493313
2020-10-28,17345238.0,302,18335070.436094366,16927119.562526613
2020-10-29,15915853.0,303,18217518.2122617,16844602.560035102
2020-10-30,20783352.0,304,18440123.00197817,16762979.447614964
2020-10-31,20427228.0,305,18902438.5204726,16682274.618284067
2020-11-01,19653148.0,306,19431639.821755834,16602512.19063192
2020-11-02,16976706.0,307,19838562.843940362,16523716.001611877
2020-11-03,20470276.0,308,19978639.08056449,16445909.599417442
2020-11-04,20074222.0,309,19797517.551669434,16369116.236444937
2020-11-05,19071892.0,310,19346060.80224797,16293358.862344518
2020-11-06,17346450.0,311,18759523.116265792,16218660.117161687
2020-11-07,19328568.0,312,18207746.739741273,16145042.324571347
2020-11-08,19222974.0,313,17833128.178443104,16072527.485206358
2020-11-09,18394070.0,314,17697539.3841161,16001137.270082684
2020-11-10,18061082.0,315,17756754.14632359,15930893.01412301
2020-11-11,16078433.0,316,17871990.550129894,15861815.709780812
2020-11-12,17667056.0,317,17855822.02281115,15793926.000766788
2020-11-13,16548035.0,318,17538005.812079296,15727244.175879482
2020-11-14,18459838.0,319,16829645.00981763,15661790.162942007
2020-11-15,15331464.0,320,15763990.058320347,15597583.522846602
2020-11-16,13811485.0,321,14499252.095254293,15534643.44370889
2020-11-17,12051245.0,322,13280824.249917597,15472988.735133525
2020-11-18,14248299.0,323,12373408.602389911,15412637.82259293
2020-11-19,14914201.0,324,11983456.349754559,15353608.741920888
2020-11-20,14419869.0,325,12195794.597184494,15295919.13392251
2020-11-21,4769195.0,326,12944177.01827796,15239586.239102315
2020-11-22,14327178.0,327,14025079.08537978,15184626.892511908
2020-11-23,16666509.0,328,15150727.145718437,15131057.51871883
2020-11-24,17578230.0,329,16025400.19118612,15078894.126898097
2020-11-25,16922498.0,330,16422280.830149984,15028152.306047857
2020-11-26,16729616.0,331,16238626.110795392,14978847.220330637
2020-11-27,16682646.0,332,15514446.85180965,14930993.604541529
2020-11-28,14874097.0,333,14411637.668209223,14884605.759704718
2020-11-29,6406866.5,334,13162644.294167805,14839697.54879963
2020-11-30,8747631.0,335,12006333.462307045,14796282.39261797
2020-12-01,16996618.0,336,11131104.114452468,14754373.26575296
2020-12-02,17166642.0,337,10640985.731161915,14713982.692721847
2020-12-03,10342103.0,338,10551327.94765708,14675122.744223006
2020-12-04,9162766.0,339,10810106.003873443,14637805.033528576
2020-12-05,7785407.0,340,11332623.270399556,14602040.713013861
2020-12-06,5459504.5,341,12034285.093021117,14567840.470824463
2020-12-07,15873566.0,342,12848997.644936929,14535214.527682103
2020-12-08,16423065.0,343,13728242.469126694,14504172.633830193
2020-12-09,16932268.0,344,14624935.639264492,14474724.066119967
2020-12-10,16817966.0,345,15473198.58290794,14446877.625238102
2020-12-11,16296521.0,346,16177342.308378909,14420641.633076645
2020-12-12,15760718.0,347,16619751.18969761,14396023.93024601
2020-12-13,16168090.0,348,16689240.647415208,14373031.87373183
2020-12-14,11966702.0,349,16321949.443867275,14351672.3346963
2020-12-15,16601927.0,350,15539686.07553775,14331951.696424777
2020-12-16,16737100.0,351,14468928.005848309,14313875.852418093
2020-12-17,9092278.0,352,13328511.06086127,14297450.204631317
2020-12-18,14695771.0,353,12384153.556330249,14282679.661859374
2020-12-19,16294816.0,354,11879970.856108252,14269568.63827005
2020-12-20,12964454.0,355,11966744.846139327,14258121.052084833
2020-12-21,9456080.0,356,12650199.168605614,14248340.324407939
2020-12-22,13570614.0,357,13778146.028878156,14240229.378203928
2020-12-23,16236434.0,358,15074073.762247771,14233790.637424178
2020-12-24,13089353.0,359,16210005.030629463,14229026.026282484
2020-12-25,16591401.0,360,16898149.34146229,14225936.968680006
2020-12-26,16259081.0,361,16973635.889223535,14224524.387779742
2020-12-27,16863208.0,362,16442208.387709592,14224788.705730647
2020-12-28,16446013.0,363,15477049.178577706,14226729.843541458
2020-12-29,16343316.0,364,14364762.19764385,14230347.221104313
2020-12-30,16670205.0,365,13416867.424065119,14235639.757368108
2020-12-31,15996825.0,366,12874514.23877906,14242605.87066158
2021-01-01,7606145.5,367,12836610.654681716,14251243.479165975
2021-01-02,5618851.0,368,13234189.756757263,14261550.00153721
2021-01-03,14856337.0,369,13858893.38413912,14273522.357677294
2021-01-04,17123684.0,370,14435825.312515855,14287156.969654825
2021-01-05,15361040.0,371,14716556.265501384,14302449.762774244
2021-01-06,16682095.0,372,14561591.489675943,14319396.166793566
2021-01-07,14075517.0,373,13985323.585359935,14337991.117290176
2021-01-08,16705447.0,374,13149156.091490213,14358229.05717435
2021-01-09,7902226.0,375,12305843.884423744,14380103.93834997
2021-01-10,16829638.0,376,11714312.69660303,14403609.223522006
2021-01-11,6125802.5,377,11553842.095635736,14428737.888150176
2021-01-12,8231300.5,378,11866319.942712005,14455482.42254823
2021-01-13,11811168.0,379,12545432.129407633,14483834.83412821
2021-01-14,14604393.0,380,13375552.46411095,14513786.649789035
2021-01-15,17129220.0,381,14106263.865126414,14545328.91844868
2021-01-16,16940242.0,382,14536604.695368512,14578452.2137192
2021-01-17,15720211.0,383,14580273.855601134,14613146.636723805
2021-01-18,17016142.0,384,14290022.981425906,14649401.819055123
2021-01-19,12482835.0,385,13833809.38879633,14687206.92587381
2021-01-20,3310162.0,386,13431977.901347155,14726550.659146521
2021-01-21,14255720.0,387,13278023.317074804,14767421.261022318
2021-01-22,16104956.0,388,13470825.957993113,14809806.517346513
2021-01-23,15059105.0,389,13981894.337889552,14853693.761310838
2021-01-24,14382873.0,390,14668689.952363927,14899069.87723894
2021-01-25,18122328.0,391,15328920.952724326,14945921.304505974
2021-01-26,18329782.0,392,15776387.9280509,14994234.04159118
2021-01-27,17532490.0,393,15911460.812347803,15043993.650262259
2021-01-28,7553814.0,394,15761096.715119638,15095185.259890202
2021-01-29,13558540.0,395,15473788.16018195,15147793.571893381
2021-01-30,18453572.0,396,15270324.487716492,15201802.864309516
2021-01-31,17303606.0,397,15366449.223870762,15257196.996494181
2021-02-01,13509264.0,398,15893253.508090021,15313959.413944423
2021-02-02,18898932.0,399,16842212.06853313,15372073.153246053
2021-02-03,19053874.0,400,18053862.536986932,15431520.847143175
2021-02-04,19154378.0,401,19254975.00745942,15492284.729728356
2021-02-05,19389470.0,402,20133407.993394416,15554346.641751979
2021-02-06,19390684.0,403,20427842.83674652,15617688.03604911
2021-02-07,18771838.0,404,20005046.847328912,15682289.983082304
2021-02-08,19598626.0,405,18901502.981378615,15748133.1765987
2021-02-09,18015268.0,406,17317551.499009512,15815197.939399667
2021-02-10,17556712.0,407,15566773.198358916,15883464.22922134
2021-02-11,15889551.0,408,13996481.282037858,15952911.64472422
2021-02-12,8147524.5,409,12902857.220924871,16023519.431590118
2021-02-13,10161605.0,410,12464408.955750853,16095266.488724565
2021-02-14,15311793.0,411,12710501.879216516,16168131.37456285
2021-02-15,13740968.0,412,13530363.58310266,16242092.313477844
2021-02-16,14647072.0,413,14716021.647043055,16317127.202287601
2021-02-17,21184826.0,414,16023783.416189775,16393213.616860911
2021-02-18,14700470.0,415,17235476.391649425,16470328.81881872
2021-02-19,13703201.0,416,18203157.546686277,16548449.76232948
2021-02-20,21531644.0,417,18867909.17831174,16627553.100996397
2021-02-21,21731728.0,418,19252008.23415077,16707615.194834469
2021-02-22,14110238.0,419,19431328.73582363,16788612.11733529
2021-02-23,19489112.0,420,19499206.540482808,16870519.66261749
2021-02-24,21338400.0,421,19533380.614491716,16953313.3526606
2021-02-25,20383868.0,422,19574617.567468293,17036968.444620352
2021-02-26,21158734.0,423,19620768.491161373,17121459.93822302
2021-02-27,21056496.0,424,19635109.77869154,17206762.583236758
