Fecha,et
2021-11-27,2.5920503
2021-11-28,2.888821
2021-11-29,2.6767032
2021-11-30,3.0271173
2021-12-01,2.9011543
2021-12-02,2.8804095
2021-12-03,3.0823405
2021-12-04,3.0895486
2021-12-05,3.1648257
2021-12-06,3.214567
2021-12-07,3.0222147
2021-12-08,2.86153
2021-12-09,3.4432697
2021-12-10,3.2626863
2021-12-11,3.983188
2021-12-12,2.5902886
2021-12-13,3.0202038
2021-12-14,2.9102435
2021-12-15,3.0397077
2021-12-16,3.024337
2021-12-17,3.1893735
2021-12-18,2.7159374
2021-12-19,1.9204713
2021-12-20,1.9418646
2021-12-21,2.536854
2021-12-22,2.6704042
2021-12-23,3.008149
2021-12-24,2.9691942
2021-12-25,2.8940473
2021-12-26,2.8509023
2021-12-27,3.035276
2021-12-28,3.3132722
2021-12-29,3.4810646
2021-12-30,3.4005857
2021-12-31,3.3093266
2022-01-01,3.6051686
2022-01-02,4.5217943
2022-01-03,2.5679002
2022-01-04,2.801124
2022-01-05,2.822128
2022-01-06,2.7663534
2022-01-07,2.0623834
2022-01-08,3.3321052
2022-01-09,3.10421
2022-01-10,3.4696345
2022-01-11,1.937739
2022-01-12,2.172631
2022-01-13,2.8244054
2022-01-14,3.1727598
2022-01-15,3.673362
2022-01-16,2.9147666
2022-01-17,3.0218291
2022-01-18,3.220052
2022-01-19,3.1798759
2022-01-20,3.0590532
2022-01-21,1.8719337
2022-01-22,1.4712224
2022-01-23,1.2299592
2022-01-24,2.6462152
2022-01-25,2.5772862
2022-01-26,1.966319
2022-01-27,1.5897478
2022-01-28,1.989728
2022-01-29,2.2258997
2022-01-30,3.3031373
2022-01-31,3.3946407
2022-02-01,3.3084705
2022-02-02,3.9797478
2022-02-03,3.6238787
2022-02-04,2.7374737
2022-02-05,2.5703866
2022-02-06,3.1093054
2022-02-07,2.6578214
2022-02-08,1.8878391
2022-02-09,3.164334
2022-02-10,2.7409897
2022-02-11,2.4521306
2022-02-12,4.318008
2022-02-13,3.300679
2022-02-14,3.0719538
2022-02-15,3.724121
2022-02-16,4.2601523
2022-02-17,4.8835597
2022-02-18,4.5385833
2022-02-19,2.8716595
2022-02-20,3.7317474
2022-02-21,4.235814
2022-02-22,4.2640853
2022-02-23,4.325427
2022-02-24,4.096191
2022-02-25,2.5210705
2022-02-26,3.0149627
2022-02-27,2.9721742
2022-02-28,3.5259023
2022-03-01,3.959784
2022-03-02,4.216826
2022-03-03,3.9077005
2022-03-04,3.8956666
2022-03-05,4.7596803
2022-03-06,4.8890405
2022-03-07,4.7891393
2022-03-08,3.849199
2022-03-09,3.412281
2022-03-10,4.6646285
2022-03-11,5.8994017
2022-03-12,3.9244366
2022-03-13,4.1817493
2022-03-14,4.664267
2022-03-15,5.4685054
2022-03-16,5.5647597
2022-03-17,6.025213
2022-03-18,5.913547
2022-03-19,3.9243598
2022-03-20,4.1690407
2022-03-21,5.9702687
2022-03-22,5.8426514
2022-03-23,5.3443213
2022-03-24,4.7532487
2022-03-25,5.314097
2022-03-26,5.518071
2022-03-27,5.480632
2022-03-28,5.4770947
2022-03-29,6.0716944
2022-03-30,6.22979
2022-03-31,5.608611
2022-04-01,5.224958
2022-04-02,5.2543125
2022-04-03,5.021874
2022-04-04,6.1601367
2022-04-05,6.2785144
2022-04-06,7.032402
2022-04-07,6.403399
2022-04-08,5.602086
2022-04-09,5.9054112
2022-04-10,6.352604
2022-04-11,6.4632335
2022-04-12,5.770479
2022-04-13,6.7118793
2022-04-14,6.5117927
2022-04-15,6.163354
2022-04-16,5.9641294
2022-04-17,5.9795194
2022-04-18,5.197564
2022-04-19,5.2834525
2022-04-20,5.5909925
2022-04-21,4.1032143
2022-04-22,4.6732383
2022-04-23,5.989323
2022-04-24,5.6141877
2022-04-25,4.568073
2022-04-26,3.2569873
2022-04-27,4.291437
2022-04-28,4.6613216
2022-04-29,5.5527964
2022-04-30,5.58721
2022-05-01,4.557532
2022-05-02,5.018797
2022-05-03,5.388003
2022-05-04,6.012001
2022-05-05,5.866168
2022-05-06,5.5436397
2022-05-07,6.0830803
2022-05-08,6.3797703
2022-05-09,6.287521
2022-05-10,4.6350646
2022-05-11,5.340196
2022-05-12,6.366562
2022-05-13,6.687192
2022-05-14,6.3027453
2022-05-15,6.6698084
2022-05-16,6.634955
2022-05-17,6.992102
2022-05-18,6.175324
2022-05-19,6.2693167
2022-05-20,6.3631086
2022-05-21,6.268201
2022-05-22,5.540866
2022-05-23,5.172845
2022-05-24,5.354875
2022-05-25,5.944291
2022-05-26,5.0353475
2022-05-27,6.183382
2022-05-28,6.3995495
2022-05-29,6.712968
2022-05-30,6.5090804
2022-05-31,5.706679
2022-06-01,5.3855915
2022-06-02,5.3797865
2022-06-03,6.0267324
2022-06-04,5.9349837
2022-06-05,6.74893
2022-06-06,6.853609
2022-06-07,6.8786745
2022-06-08,6.6065316
2022-06-09,5.087054
2022-06-10,6.6018114
2022-06-11,6.4394364
2022-06-12,6.425304
2022-06-13,5.244207
2022-06-14,4.664017
2022-06-15,4.6337533
2022-06-16,5.1066833
2022-06-17,5.7057037
2022-06-18,5.0268416
2022-06-19,5.2247095
2022-06-20,5.137292
2022-06-21,4.474828
2022-06-22,3.825211
2022-06-23,5.4705386
2022-06-24,5.946164
2022-06-25,5.834705
2022-06-26,5.635124
2022-06-27,5.6213593
2022-06-28,5.660632
2022-06-29,5.0209394
2022-06-30,5.2296433
2022-07-01,6.2225456
2022-07-02,5.554418
2022-07-03,5.6591506
2022-07-04,5.6958103
2022-07-05,5.821026
2022-07-06,6.3352113
2022-07-07,5.8813972
2022-07-08,6.1493917
2022-07-09,6.318079
2022-07-10,6.6173306
2022-07-11,6.611519
2022-07-12,6.0039635
2022-07-13,5.6860943
2022-07-14,5.2765203
2022-07-15,4.2021303
2022-07-16,5.4803305
2022-07-17,5.8834066
2022-07-18,6.050292
2022-07-19,6.4573984
2022-07-20,6.577692
2022-07-21,6.417214
2022-07-22,5.622325
2022-07-23,5.7221656
2022-07-24,5.5603447
2022-07-25,5.2912865
2022-07-26,5.8208117
2022-07-27,5.1962543
2022-07-28,5.443784
2022-07-29,5.195069
2022-07-30,5.3640223
2022-07-31,5.0087805
2022-08-01,5.1591864
2022-08-02,5.3831844
2022-08-03,6.0495915
2022-08-04,6.0495334
2022-08-05,5.6361837
2022-08-06,5.61153
2022-08-07,5.7447867
2022-08-08,5.809712
2022-08-09,5.821786
2022-08-10,5.995736
2022-08-11,6.033861
2022-08-12,5.826445
2022-08-13,4.439418
2022-08-14,4.309128
2022-08-15,4.8741865
2022-08-16,4.4793863
2022-08-17,5.333023
2022-08-18,5.6300025
2022-08-19,5.4715056
2022-08-20,5.1645174
2022-08-21,4.6823134
2022-08-22,5.851976
2022-08-23,6.130394
2022-08-24,5.9032273
2022-08-25,5.855393
2022-08-26,5.606271
2022-08-27,5.805744
2022-08-28,5.6742177
2022-08-29,5.3144555
2022-08-30,5.1769333
2022-08-31,5.3197455
2022-09-01,4.686881
2022-09-02,4.4827914
2022-09-03,3.482672
2022-09-04,4.0382333
2022-09-05,3.5891595
2022-09-06,3.3164012
2022-09-07,3.0482237
2022-09-08,4.833639
2022-09-09,4.568553
2022-09-10,4.225351
2022-09-11,4.485202
2022-09-12,5.073613
2022-09-13,4.602117
2022-09-14,4.3704486
2022-09-15,3.4658854
2022-09-16,3.4887464
2022-09-17,3.3920753
2022-09-18,3.6929011
2022-09-19,3.8812633
2022-09-20,3.7210104
2022-09-21,4.0893636
2022-09-22,3.816566
2022-09-23,4.214055
2022-09-24,4.3719945
2022-09-25,4.3205185
2022-09-26,3.9412723
2022-09-27,3.606251
2022-09-28,4.23456
2022-09-29,4.3204236
2022-09-30,4.48197
2022-10-01,4.3988466
2022-10-02,3.800978
2022-10-03,3.6969624
2022-10-04,2.6884904
2022-10-05,2.69274
2022-10-06,2.0002646
2022-10-07,2.9768763
2022-10-08,3.0380466
2022-10-09,3.9113736
2022-10-10,2.9754384
2022-10-11,3.5195637
2022-10-12,4.2070804
2022-10-13,4.4506645
2022-10-14,3.887715
2022-10-15,4.2179914
2022-10-16,4.6399055
2022-10-17,3.9563053
2022-10-18,1.997968
2022-10-19,2.7772248
2022-10-20,3.668676
2022-10-21,3.8425531
2022-10-22,4.052212
2022-10-23,4.078336
2022-10-24,4.2698207
2022-10-25,3.8781958
2022-10-26,3.6062038
2022-10-27,4.1327763
2022-10-28,4.3675904
2022-10-29,3.5955544
2022-10-30,3.575128
2022-10-31,2.7308316
2022-11-01,2.8624253
2022-11-02,2.9819264
2022-11-03,3.904034
2022-11-04,4.232916
2022-11-05,3.8514118
2022-11-06,3.8093112
2022-11-07,2.8523674
2022-11-08,3.2235177
2022-11-09,3.0930164
2022-11-10,3.6293554
2022-11-11,3.6352928
2022-11-12,3.3009667
2022-11-13,2.4155378
2022-11-14,3.6954594
2022-11-15,3.119675
2022-11-16,2.4181404
2022-11-17,1.0231955
2022-11-18,1.8180445
2022-11-19,2.4892232
2022-11-20,1.140683
2022-11-21,1.2807975
2022-11-22,1.4673575
2022-11-23,2.6518066
2022-11-24,2.9892247
2022-11-25,2.0590343
2022-11-26,1.7585293
2022-11-27,2.9512036
2022-11-28,2.7338514
2022-11-29,3.2019982
2022-11-30,3.454623
2022-12-01,1.4345226
2022-12-02,2.7854483
2022-12-03,2.499586
2022-12-04,2.5210118
2022-12-05,3.0859008
2022-12-06,2.8764524
2022-12-07,2.4831939
2022-12-08,2.9118993
2022-12-09,2.83692
2022-12-10,2.9330058
2022-12-11,2.5464041
2022-12-12,3.1419494
2022-12-13,3.2502494
2022-12-14,3.2193253
2022-12-15,2.676461
2022-12-16,2.4605174
2022-12-17,2.4036317
2022-12-18,1.5985248
2022-12-19,2.5799732
2022-12-20,3.157367
2022-12-21,2.2009718
2022-12-22,2.6765351
2022-12-23,2.824297
2022-12-24,1.5939363
2022-12-25,1.3060548
2022-12-26,2.305277
2022-12-27,2.6593611
2022-12-28,2.925103
2022-12-29,2.972631
2022-12-30,2.6834745
2022-12-31,2.8837607
2023-01-01,2.9516053
2023-01-02,3.2834735
2023-01-03,3.250259
2023-01-04,2.975847
2023-01-05,2.8469372
2023-01-06,3.0615165
2023-01-07,3.1588914
2023-01-08,2.6861994
2023-01-09,2.4628055
