Parcela,Fecha,dias,ndvi,gndvi,cire,ndre1,ndmi,msi,temp,dia_x,reconstruida_temp,ajustados_temp,srf,dia_y,reconstruida_srf,ajustados_srf,precip,precip_acum,et,dia,reconstruida_et,ajustados_et,et_acum,et_acum_ajustados,rh12,rh12_holtwin_predicts,kc,etc,etc_acum
13,2023-06-05,96.0,0.5361446937000001,0.4736896337,1.2187845243000002,0.2954544042,0.0661757655999999,0.9330329929,302.8179,1252,302.36786878392945,303.7063460965168,25495088.0,1252,21989909.066273127,25169147.036400083,0.27,134.25,6.0108347,1252,5.315474573208537,6.254734080425584,501.98445589999994,525.5879674467457,42.775993,48.71092833601681,0.786566397755,4.7279205974797565,311.0421607703187
13,2023-06-06,97.0,0.5387215486,0.4754332614,1.2268015088,0.2971667706999999,0.0683995939,0.9285183289,303.57837,1253,302.7084145159206,303.74267911856384,26717406.0,1253,23093790.634362523,25190190.9167174,0.03,134.28,6.4157815,1253,5.546211507916564,6.257793382796083,508.4002373999999,531.8457608295417,36.407764,43.68554169149853,0.78952978089,5.065450561933115,316.1076113322518
13,2023-06-07,98.0,0.5412793871,0.4771645043,1.2347534765,0.2988657184,0.0706080748,0.9240339191,303.3784,1254,303.1255149510885,303.7776368596774,26366572.0,1254,24141884.1611507,25209607.768635668,0.1,134.38,6.3538756,1254,5.8127944863797545,6.2603545482909615,514.754113,538.1061153778327,45.238243,43.023588143813534,0.792471295165,5.035264026049292,321.14287535830107
13,2023-06-08,99.0,0.5438182092000001,0.4788833624,1.2426404274,0.3005512473,0.0728012082999999,0.9195797634999998,302.82376,1255,303.58666453411104,303.8112088344927,22760568.0,1255,24999477.640090715,25227391.71175005,0.16,134.54,5.5255737,1255,6.085456414301042,6.2624168084739535,520.2796867,544.3685321863067,48.7783,44.27716999119049,0.7953909405800001,4.394991262487111,325.5378666207882
13,2023-06-09,100.0,0.5463380149,0.4805898357,1.2504623615000003,0.3022233574,0.0749789944,0.9151558621,304.54315,1256,304.05680315722407,303.8433849732971,24808490.0,1256,25617742.578796484,25243537.360183068,0.22,134.76,6.2437477,1256,6.341120765969334,6.263979544597259,526.5234343999999,550.632511730904,49.21188,47.83572811962974,0.798288717135,4.984313341547607,330.52217996233577
13,2023-06-10,101.0,0.5488388042000001,0.4822839242,1.2582192788000002,0.3038820487,0.0771414330999999,0.9107622149,304.11633,1257,304.50708564345416,303.87415562505066,22970968.0,1257,26032646.60453933,25258039.824215747,0.68,135.44,6.0711527,1257,6.56661991898528,6.265042287787189,532.5945870999999,556.8975540186912,52.336323,51.18488846381427,0.8011646248300001,4.863992775181142,335.3861727375169
13,2023-06-11,102.0,0.5513205771,0.4839656279,1.2659111793000002,0.3055273212,0.0792885243999999,0.9063988219,304.62787,1258,304.9210399565334,303.903511560281,25239720.0,1258,26339301.82239963,25270894.711768456,0.42,135.86,6.360785,1258,6.759216617773723,6.265604719184847,538.9553720999999,563.163158737876,50.149014,55.37190568260886,0.8040186636650001,5.114189855560378,340.5003625930773
13,2023-06-12,103.0,0.5537833336,0.4856349468000001,1.2735380630000002,0.3071591749,0.0814202682999999,0.9020656830999998,305.25427,1259,305.2960853872655,303.93144397385123,27184126.0,1259,26651417.66960845,25282098.12973106,0.09,135.95,6.910608,1259,6.924603138513592,6.265666670041791,545.8659800999999,569.4288254079178,48.11466,46.41501005030924,0.80685083364,5.575829825759253,346.0761924188365
13,2023-06-13,104.0,0.5562270737,0.4872918809000001,1.2810999299,0.3087776098,0.0835366648,0.8977627985,305.79672,1260,305.63992490216225,303.9579444876015,28162702.0,1260,27059083.491823185,25291646.68514194,0.19,136.14,7.322704,1260,7.073025755662159,6.26522812177067,553.1886840999999,575.6940535296884,49.51239,48.37321550947772,0.809661134755,5.9289088301149775,352.0051012489515
13,2023-06-14,105.0,0.5586517974,0.4889364302,1.28859678,0.3103826259,0.0856377139,0.8934901680999999,305.9989,1261,305.9631107215868,303.9830051528614,29299480.0,1261,27597564.29457278,25299537.48621556,0.01,136.14999999999998,7.814057,1261,7.214522726315862,6.264289205950795,561.0027411,581.9583427356392,39.23496,46.51731061968125,0.81244956701,6.34852722624146,358.353628475193
