Fecha,RH12,Dia,Reconstruida,Ajustados
2022-06-15,59.739117,897,53.147912492445556,46.48929710612127
2022-06-16,54.78865,898,52.113362041468825,46.56177020711306
2022-06-17,47.54889,899,51.190031917527214,46.63474808531442
2022-06-18,47.13856,900,50.75658007017907,46.7082132196803
2022-06-19,51.60918,901,50.94292559995497,46.78214797218177
2022-06-20,48.57726,902,51.60037382304508,46.85653459204063
2022-06-21,51.04137,903,52.373565449712146,46.93135521999116
2022-06-22,61.230263,904,52.84602048665193,47.00659189256794
2022-06-23,51.90192,905,52.70559234802654,47.0822265464186
2022-06-24,47.84974,906,51.86989333276341,47.1582410226406
2022-06-25,48.99602,907,50.5266444897066,47.23461707114099
2022-06-26,53.199413,908,49.074486869074875,47.31133635501795
2022-06-27,49.354225,909,47.98520114278331,47.38838045496331
2022-06-28,45.277256,910,47.63608838669824,47.465730873684755
2022-06-29,46.547413,911,48.1718176871627,47.5433690403468
2022-06-30,48.969017,912,49.44480320128574,47.62127631502939
2022-07-01,52.449726,913,51.055857658623886,47.699433993203115
2022-07-02,52.047905,914,52.48209288835524,47.777823310219915
2022-07-03,53.896202,915,53.248898905484886,47.85642544581826
2022-07-04,55.524166,916,53.087698153206205,47.93522152864163
2022-07-05,51.534443,917,52.026116785256754,48.01419264076924
2022-07-06,43.307716,918,50.38034672692045,48.09331982225809
2022-07-07,52.620888,919,48.652678621149704,48.17258407569492
2022-07-08,53.14652,920,47.36901778314397,48.25196637075725
2022-07-09,44.81776,921,46.91084793373882,48.33144764878236
2022-07-10,45.569286,922,47.397108041321395,48.41100882734299
2022-07-11,43.620075,923,48.653788704365354,48.490630804828776
2022-07-12,52.69519,924,50.279070226450365,48.57029446503235
2022-07-13,51.975845,925,51.77989959696504,48.64998068173885
2022-07-14,55.34897,926,52.732848593312625,48.729670323317876
2022-07-15,56.253532,927,52.91545961168954,48.80934425731677
2022-07-16,50.458412,928,52.36587121811608,48.88898335505408
2022-07-17,48.09816,929,51.353909124397795,48.96856849621205
2022-07-18,49.872883,930,50.27706457767566,49.048080573427235
2022-07-19,49.64666,931,49.5195079685095,49.127500496877886
2022-07-20,49.649998,932,49.323311141232054,49.20680919886717
2022-07-21,49.290684,933,49.715067133397845,49.28598763840111
2022-07-22,53.494076,934,50.51065162692203,49.365016805760064
2022-07-23,51.33715,935,51.393342829726,49.44387772706266
2022-07-24,52.088676,936,52.03546778566747,49.5225514688213
2022-07-25,50.853645,937,52.219618840432176,49.60101914248773
2022-07-26,47.37111,938,51.9167884570555,49.679261908987975
2022-07-27,56.020397,939,51.29465845000745,49.7572609832454
2022-07-28,48.59581,940,50.65399471631605,49.83499763869069
2022-07-29,55.919487,941,50.31605210290914,49.91245321175791
2022-07-30,48.083138,942,50.50063212797495,49.98960910636538
2022-07-31,47.71238,943,51.237470618168935,50.06644679838031
2022-08-01,53.661648,944,52.34219380166692,50.142947840066284
2022-08-02,55.86632,945,53.46624701984703,50.21909386451226
2022-08-03,50.470802,946,54.20540699788205,50.29486659004221
2022-08-04,53.112022,947,54.23198237869664,50.370247824604405
2022-08-05,57.417442,948,53.407906087794075,50.44521947013901
2022-08-06,53.772644,949,51.84200231524757,50.5197635269232
2022-08-07,47.35059,950,49.87254323035738,50.59386209789271
2022-08-08,46.57173,951,47.97982714801799,50.667497392938664
2022-08-09,49.796658,952,46.65524445336254,50.740651733178716
2022-08-10,46.307842,953,46.266306284883946,50.813307555201575
2022-08-11,45.375942,954,46.95753641420089,50.885447415283735
2022-08-12,42.402813,955,48.61522508822408,50.95705399357744
2022-08-13,50.094303,956,50.903955185563746,51.02811009826903
2022-08-14,61.753345,957,53.361103129388674,51.09859866970645
2022-08-15,56.377777,958,55.519012010130496,51.16850278449501
2022-08-16,62.05982,959,57.01814195609498,51.23780565956053
2022-08-17,54.18096,960,57.67974186687079,51.30649065617872
2022-08-18,50.938705,961,57.52123724859827,51.37454128396986
2022-08-19,53.6365,962,56.71648074501449,51.44194120485806
2022-08-20,50.436756,963,55.51999840975735,51.50867423699369
2022-08-21,66.81448,964,54.18400578171737,51.57472435863853
2022-08-22,56.379425,965,52.89646824573507,51.64007571201231
2022-08-23,49.31677,966,51.75845742993931,51.70471260709998
2022-08-24,50.66567,967,50.803256323099774,51.768619525418714
2022-08-25,44.47873,968,50.043683415629104,51.83178112374365
2022-08-26,50.80988,969,49.52351720513489,51.89418223779165
2022-08-27,48.910244,970,49.34742150647937,51.95580788586198
2022-08-28,47.79058,971,49.67200983094068,52.0166432724333
2022-08-29,57.097473,972,50.65591085576152,52.07667379171579
2022-08-30,52.364403,973,52.383680705724814,52.135885031157905
2022-08-31,50.702827,974,54.791118690291114,52.194262774906576
2022-09-01,58.037228,975,57.62314268500073,52.251793007220286
2022-09-02,59.128117,976,60.44790431823277,52.30846191583405
2022-09-03,66.8529,977,62.73398800759972,52.36425589527557
2022-09-04,60.68591,978,63.97636916577064,52.41916155013171
2022-09-05,69.13337,979,63.83816735131964,52.47316569826461
2022-09-06,59.03545,980,62.26564973652007,52.52625537397651
2022-09-07,58.326115,981,59.53742835528735,52.57841783112265
2022-09-08,50.892307,982,56.225340446099665,52.62964054617147
2022-09-09,54.000427,983,53.06979641323535,52.67991122121134
2022-09-10,59.073257,984,50.79893252777644,52.72921778690309
2022-09-11,53.38167,985,49.940272985268365,52.777548405377786
2022-09-12,47.332993,986,50.679089962374164,52.82489147307879
2022-09-13,48.76397,987,52.80659886213966,52.871235623547626
2022-09-14,47.808067,988,55.77605926064146,52.91656973015295
2022-09-15,69.13627,989,58.85296261005718,52.96088290876186
2022-09-16,55.640434,990,61.31657219529262,53.00416452035309
2022-09-17,66.57052,991,62.653487414879635,53.04640417357128
2022-09-18,64.66238,992,62.68544627952134,53.0875917272218
2022-09-19,64.05507,993,61.59343973425689,53.12771729270551
2022-09-20,58.16237,994,59.832596853400645,53.166771236392925
2022-09-21,54.834373,995,57.967070226295164,53.204744181937066
2022-09-22,55.758163,996,56.47998101955133,53.24162701252466
2022-09-23,52.532196,997,55.62158880812481,53.27741087306493
2022-09-24,56.422512,998,55.3460448670412,53.3120871723156
2022-09-25,54.437855,999,55.35709480280241,53.34564758494554
