Fecha,SRF,holtwinters_predicts
2021-05-03,28346570.0,22047969.580482457
2021-05-04,27386682.0,27002806.228122376
2021-05-05,20667908.0,25659959.230601404
2021-05-06,22158464.0,23469613.219465885
2021-05-07,21068808.0,22630571.12443235
2021-05-08,24513522.0,22889457.585564733
2021-05-09,25669540.0,24091154.186282814
2021-05-10,22684142.0,21253152.866285797
2021-05-11,20219836.0,22402115.70448845
2021-05-12,13287075.0,19311656.6885277
2021-05-13,21457672.0,18040902.951422993
2021-05-14,19618260.0,18740224.90590757
2021-05-15,21950072.0,23634052.91492319
2021-05-16,22585862.0,22015932.89942576
2021-05-17,26113672.0,23892239.878839724
2021-05-18,22630980.0,22985519.195510697
2021-05-19,26612664.0,23726061.317539364
2021-05-20,27317670.0,23850276.91084859
2021-05-21,26426402.0,26334883.790125974
2021-05-22,23726288.0,26035184.781741634
2021-05-23,23943072.0,25072099.727068823
2021-05-24,25140734.0,24343452.374213852
2021-05-25,22443322.0,24995841.898221023
2021-05-26,22216210.0,23019296.45802552
2021-05-27,24545254.0,24017818.404359393
2021-05-28,27322428.0,25658462.629964344
2021-05-29,18834524.0,23023094.77033193
2021-05-30,19201468.0,21881181.06674334
2021-05-31,22628520.0,21140205.028694928
2021-06-01,21683152.0,19265376.24259411
2021-06-02,18528676.0,17918240.460941073
2021-06-03,11734548.0,16533087.935755182
2021-06-04,19461320.0,18927778.420955665
2021-06-05,24992858.0,22815157.847567298
2021-06-06,27608508.0,25272115.55953388
2021-06-07,27251956.0,26233140.73428378
2021-06-08,26094400.0,24973833.806061797
2021-06-09,24971232.0,23605273.866498902
2021-06-10,23623686.0,25242149.478948794
2021-06-11,26470394.0,25712217.09823718
2021-06-12,21200756.0,25144357.996614795
2021-06-13,18557836.0,21573674.238319732
2021-06-14,23946334.0,21217307.113727007
2021-06-15,24625964.0,22664755.10398285
2021-06-16,23809588.0,24290894.5357824
2021-06-17,21421346.0,24443506.412129555
2021-06-18,20661970.0,21973455.727091707
2021-06-19,15946241.0,19615917.43726367
2021-06-20,25403486.0,20997963.16183004
2021-06-21,24537588.0,21530114.45171526
2021-06-22,14952375.0,18977440.84920493
2021-06-23,22123840.0,22042812.562673353
2021-06-24,24234038.0,22891780.89926638
2021-06-25,23561828.0,23064401.516014867
2021-06-26,24935138.0,23736358.200193346
2021-06-27,22638050.0,23881888.530027602
2021-06-28,17886290.0,21236315.27654885
2021-06-29,19793546.0,18219777.049155317
2021-06-30,11770480.0,16357550.491156448
2021-07-01,20843754.0,18592237.31383162
2021-07-02,24310932.0,20548721.45525528
2021-07-03,23423516.0,22259721.333249036
2021-07-04,25046766.0,23729599.63222769
2021-07-05,22604234.0,23662383.511871498
2021-07-06,18340216.0,22099292.744709745
2021-07-07,8785046.0,15836765.407345125
2021-07-08,16716081.0,15163777.944626395
2021-07-09,13675490.0,15490588.784098804
2021-07-10,21358286.0,17745609.31055451
2021-07-11,24383262.0,20782931.73395329
2021-07-12,21698894.0,21470601.844063535
2021-07-13,18565268.0,20525073.19875603
2021-07-14,24624528.0,20616517.776500344
2021-07-15,21355424.0,19505207.169084415
2021-07-16,21757878.0,21414715.053688332
2021-07-17,25117114.0,24261706.28379356
2021-07-18,25668944.0,24606197.18309217
2021-07-19,26229200.0,26205755.574469246
2021-07-20,27499456.0,26105588.934687357
2021-07-21,24551532.0,26246550.180768386
2021-07-22,22276366.0,23754132.095378194
2021-07-23,25159220.0,24096478.416071575
2021-07-24,28909190.0,25465883.450618222
2021-07-25,28022864.0,24528131.446708683
2021-07-26,27382826.0,24677018.874885377
2021-07-27,26222848.0,23161668.95664105
2021-07-28,24835348.0,26092172.232156362
2021-07-29,22956860.0,23105883.322044875
2021-07-30,23840080.0,28402721.349904135
2021-07-31,25425984.0,26908733.540692147
2021-08-01,27137196.0,27246904.60647282
2021-08-02,26302272.0,25297392.252894737
2021-08-03,24410638.0,27081298.461011473
2021-08-04,21469418.0,24518584.838882245
2021-08-05,24469836.0,23691648.483636875
2021-08-06,25941554.0,24885300.6404652
2021-08-07,25359676.0,24386720.52126513
2021-08-08,24115834.0,24190990.607741144
2021-08-09,24645452.0,22504766.069281325
2021-08-10,25128412.0,24646954.808303595
2021-08-11,26438432.0,27035018.265852023
2021-08-12,26691532.0,27063400.96077741
2021-08-13,27140002.0,25866512.70204541
2021-08-14,26666634.0,26511861.172072582
2021-08-15,24559980.0,26308923.24205181
2021-08-16,25139634.0,24141686.38799549
2021-08-17,25181574.0,26507891.479640555
2021-08-18,25325752.0,25722166.04004784
2021-08-19,25477178.0,24184001.571948275
2021-08-20,21108228.0,24252385.015972614
2021-08-21,13836947.0,18924229.49069711
2021-08-22,19733736.0,20412881.902404875
2021-08-23,25847742.0,22099022.457064256
2021-08-24,25379724.0,24065100.80601361
2021-08-25,23989598.0,21390834.268644094
2021-08-26,24769186.0,24715607.661024798
2021-08-27,27239024.0,26060477.543419573
2021-08-28,26437680.0,26604542.523986783
2021-08-29,19795528.0,23792716.32277141
2021-08-30,23764798.0,22797235.604131114
2021-08-31,23654210.0,23436126.08294571
2021-09-01,23600024.0,23322367.693582457
2021-09-02,22064042.0,22775756.09505238
2021-09-03,18910234.0,19432090.81432096
2021-09-04,18860906.0,19332410.26904877
2021-09-05,23880728.0,15909474.158581564
2021-09-06,22226820.0,21091924.937926468
2021-09-07,24725882.0,23591562.80292289
2021-09-08,22640946.0,26755871.672453396
2021-09-09,21909580.0,23978673.671990987
2021-09-10,22238408.0,20105388.76129759
2021-09-11,20153688.0,21751277.230855167
2021-09-12,20638256.0,23852997.23049878
2021-09-13,18694086.0,20987269.339450944
2021-09-14,22609142.0,18130170.872098066
2021-09-15,20860012.0,18390777.45078855
2021-09-16,15763337.0,18148558.323062066
2021-09-17,20336426.0,19248344.033775955
2021-09-18,21256464.0,21343337.208455395
2021-09-19,23703646.0,22394779.939373463
2021-09-20,23901616.0,23303767.44761704
2021-09-21,21480338.0,24116377.48477755
2021-09-22,15370177.0,19746056.757485837
2021-09-23,19491080.0,20380635.947743256
2021-09-24,17450084.0,19585523.646738887
2021-09-25,17686366.0,18423316.54201595
2021-09-26,20568480.0,17332128.938404903
2021-09-27,23729900.0,19051470.20293721
2021-09-28,21769498.0,21224924.92907061
2021-09-29,19670312.0,22027813.746925224
2021-09-30,15991142.0,21466390.121452622
2021-10-01,18993060.0,19479326.00814268
2021-10-02,8503090.0,12298542.018528968
2021-10-03,14810215.0,14350879.318446983
2021-10-04,14353096.0,11884465.288833564
2021-10-05,18419272.0,14844428.80342322
2021-10-06,22229332.0,15646798.94564794
2021-10-07,22606902.0,21463875.142653156
2021-10-08,23174490.0,21204483.509866297
2021-10-09,22505438.0,23767506.14866344
2021-10-10,22850040.0,22021522.444207594
2021-10-11,21341678.0,23104335.971335586
2021-10-12,21702376.0,22822131.441090144
2021-10-13,17971302.0,19312530.391571052
2021-10-14,17449356.0,19079923.10185876
2021-10-15,18308460.0,19520127.519569404
2021-10-16,14695146.0,16173036.908460444
2021-10-17,17738342.0,16561157.218956817
2021-10-18,21662070.0,15799918.446795894
2021-10-19,21519266.0,18569121.45436655
2021-10-20,20701636.0,23728143.903271522
2021-10-21,19071470.0,22294033.249169283
2021-10-22,18396672.0,19667651.906407777
2021-10-23,19809098.0,19416921.264415517
2021-10-24,18436964.0,19093408.94102387
2021-10-25,13084474.0,15889655.688392084
2021-10-26,19850772.0,17422497.556286976
2021-10-27,20536956.0,19640222.724690586
2021-10-28,17565116.0,18054985.136373557
2021-10-29,18886534.0,16101179.555236472
2021-10-30,20481812.0,20830683.184490453
2021-10-31,18451388.0,17270432.105111875
2021-11-01,18171456.0,18578398.23368343
2021-11-02,19407646.0,17984499.90416705
2021-11-03,19715006.0,21487825.014215115
2021-11-04,14679352.0,18899571.56733019
2021-11-05,15467714.0,15690968.570753861
2021-11-06,17497318.0,16785344.80075925
2021-11-07,18337084.0,16438799.331677511
2021-11-08,16973260.0,17748049.610837493
2021-11-09,17623524.0,17078815.805208005
2021-11-10,17322288.0,17736412.000973947
2021-11-11,18318686.0,17231535.283450328
2021-11-12,17387728.0,14604285.804802665
2021-11-13,11709083.0,14250162.182115268
2021-11-14,18240300.0,18684890.505235944
2021-11-15,18527466.0,14416987.481938578
2021-11-16,18661680.0,15354215.066809895
2021-11-17,17935688.0,15031612.707000086
2021-11-18,16075105.0,17759632.27147036
2021-11-19,12723546.0,17486118.525193334
2021-11-20,16799252.0,13882806.907836208
2021-11-21,17715168.0,12616063.493713388
2021-11-22,13074066.0,17149349.14692262
2021-11-23,12795743.0,19228658.10318356
2021-11-24,16390168.0,17590681.858134765
2021-11-25,12080121.0,13102773.52838184
2021-11-26,7466098.0,10277008.548812743
2021-11-27,14879937.0,14496276.217047442
2021-11-28,14079097.0,13109534.595813878
2021-11-29,16117744.0,11934714.008932222
2021-11-30,16921206.0,14352638.470950063
2021-12-01,16183658.0,15333283.171793314
