Fecha,srf,srf_holtwin_predicts
2021-11-29,16242997.0,12077035.679790925
2021-11-30,17045930.0,14634718.46784852
2021-12-01,16312566.0,15624728.974034104
2021-12-02,16515131.0,19380792.55137485
2021-12-03,16898456.0,15060780.252851045
2021-12-04,16699979.0,15324863.61397022
2021-12-05,16208766.0,16435770.686025811
2021-12-06,16187314.0,15336811.388437431
2021-12-07,13282145.0,17069358.667660475
2021-12-08,15761993.0,17061193.096348085
2021-12-09,16721774.0,16735348.964236002
2021-12-10,15864899.0,16688608.291984256
2021-12-11,16003421.0,16068648.232888628
2021-12-12,8784562.0,13648587.761909664
2021-12-13,16544294.0,13749288.097272765
2021-12-14,15680113.0,13621276.643453026
2021-12-15,14830763.0,15738858.45010898
2021-12-16,16059280.0,15390552.942763433
2021-12-17,15448928.0,10837467.799105695
2021-12-18,14527700.0,13833680.899426365
2021-12-19,6255661.5,15684544.189881476
2021-12-20,9954686.0,10617617.624622261
2021-12-21,16465677.0,10399499.961775398
2021-12-22,16566867.0,16072937.4549605
2021-12-23,16230964.0,13680615.894355599
2021-12-24,15842321.0,13769173.615669858
2021-12-25,16521177.0,15481255.576169008
2021-12-26,15331799.0,19550243.58575333
2021-12-27,16611054.0,17945560.18294206
2021-12-28,16529693.0,17383226.84676022
2021-12-29,17107654.0,16970198.15723377
2021-12-30,16704582.0,16884772.315043427
2021-12-31,16248837.0,16233365.21541185
2022-01-01,16756194.0,13891901.928480051
2022-01-02,16876470.0,14313184.23459474
2022-01-03,15580898.0,19095495.976345215
2022-01-04,17207172.0,18383320.336501162
2022-01-05,17089450.0,17141091.0771521
2022-01-06,16378005.0,17090927.272275947
2022-01-07,8665709.0,13367783.784855898
2022-01-08,16589861.0,13497781.646093326
2022-01-09,15168046.0,11142101.463967184
2022-01-10,8382421.5,15378785.595137356
2022-01-11,4910312.5,7060984.32022718
2022-01-12,12180897.0,8918362.04868959
2022-01-13,15077190.0,13374871.567818297
2022-01-14,17715008.0,16102409.529048977
2022-01-15,17312854.0,17616575.86626793
2022-01-16,18187882.0,17718160.408292323
2022-01-17,17963018.0,17196737.47096992
2022-01-18,17765942.0,18037713.11183596
2022-01-19,17271898.0,15590285.487608377
2022-01-20,12599439.0,12286967.78306128
2022-01-21,7087821.5,14493414.358337909
2022-01-22,6143927.5,7714292.655085478
2022-01-23,5138401.0,5174065.383685691
2022-01-24,15195572.0,12648236.536570942
2022-01-25,13222375.0,13634921.372670155
2022-01-26,9177597.0,10615657.359251318
2022-01-27,7356953.0,7395852.869165773
2022-01-28,8178860.0,7951882.399594108
2022-01-29,8733759.0,10697449.303013887
2022-01-30,18354186.0,14039753.396835886
2022-01-31,18656468.0,15202891.870215135
2022-02-01,18763274.0,12510501.180307563
2022-02-02,19018482.0,19402037.553170323
2022-02-03,18953742.0,20803756.819728848
2022-02-04,11209558.0,19001356.696204185
2022-02-05,14450549.0,16002087.946185647
2022-02-06,19259350.0,16738221.20690085
2022-02-07,10921434.0,14520704.347204383
2022-02-08,8284829.5,10863100.947720643
2022-02-09,19818724.0,11769896.255538777
2022-02-10,14080441.0,12157564.310231509
2022-02-11,12640041.0,16128489.597924132
2022-02-12,19123090.0,14652538.811661553
2022-02-13,14355713.0,16074105.989104936
2022-02-14,15737814.0,17399365.511547472
2022-02-15,20586682.0,17586684.422879186
2022-02-16,20626734.0,19594288.459934074
2022-02-17,20903986.0,20773928.198369853
2022-02-18,21225988.0,20358898.71016265
2022-02-19,11863345.0,16162670.53720871
2022-02-20,15894435.0,18880923.81712694
2022-02-21,21088018.0,19497400.14625635
2022-02-22,21202816.0,17414033.43657061
2022-02-23,20904200.0,21524208.081750277
2022-02-24,18659544.0,20792172.755752698
2022-02-25,10782449.0,15575021.007673247
2022-02-26,11619405.0,14599920.717996264
2022-02-27,13334465.0,13985298.903480807
2022-02-28,17278580.0,14886748.286615925
2022-03-01,22171936.0,17413818.093222227
2022-03-02,20769782.0,15394994.41117553
2022-03-03,15863527.0,21992991.083349954
2022-03-04,15553710.0,18543689.85276595
2022-03-05,22281032.0,18480704.342715308
2022-03-06,22152396.0,20495376.186778422
2022-03-07,21201036.0,18639368.388329647
2022-03-08,17578700.0,16339502.345950538
2022-03-09,13057343.0,17776140.921789188
2022-03-10,23137730.0,21506346.770243183
2022-03-11,23860068.0,23006618.136876803
2022-03-12,14537788.0,19187843.374696415
2022-03-13,23858556.0,17542749.278908398
2022-03-14,23812540.0,19211214.64470658
2022-03-15,23847872.0,22309209.450510696
2022-03-16,24291130.0,27759647.259676054
2022-03-17,24210552.0,26728993.940375604
2022-03-18,23491128.0,23711495.311121564
2022-03-19,12042398.0,15364998.880625293
2022-03-20,16803208.0,16385522.337724747
2022-03-21,24436178.0,23712649.74009189
2022-03-22,25531866.0,23774772.385016598
2022-03-23,25273750.0,24319859.453515768
2022-03-24,24206090.0,26189017.75307147
2022-03-25,25997722.0,25482385.66519732
2022-03-26,26017590.0,25846736.39247483
2022-03-27,25892696.0,25695845.490923394
2022-03-28,25459550.0,21211947.250842918
2022-03-29,25104490.0,20339816.7505064
2022-03-30,26113560.0,28498075.901605546
2022-03-31,25903362.0,28983468.338599976
2022-04-01,25480382.0,21483693.483088303
2022-04-02,24910450.0,22910279.25838131
2022-04-03,22777212.0,28383877.646977562
2022-04-04,26038980.0,26209852.988380928
2022-04-05,26157590.0,27738079.300110057
2022-04-06,26789600.0,23335072.545643903
2022-04-07,26383840.0,23399094.104048368
2022-04-08,25888954.0,25392947.56846568
2022-04-09,26224720.0,25740148.196403656
2022-04-10,26339226.0,27170350.953379434
2022-04-11,27074924.0,28573911.258241944
2022-04-12,25382766.0,28253313.676805977
2022-04-13,27138540.0,28443401.398230538
2022-04-14,26443972.0,27575769.719360135
2022-04-15,24427644.0,25335686.732192345
2022-04-16,24614972.0,25852324.57633054
2022-04-17,25155478.0,19535738.66431292
2022-04-18,22044022.0,22458689.64611322
2022-04-19,20960078.0,23529938.25510957
2022-04-20,21976576.0,25044800.872398943
2022-04-21,16957690.0,18953772.561770156
2022-04-22,18870486.0,19736160.854659677
2022-04-23,25432814.0,24007120.140820734
2022-04-24,22060364.0,21460438.18188313
2022-04-25,18179520.0,23680219.999330863
2022-04-26,15140482.0,19175462.01505206
2022-04-27,21025656.0,18452815.108359065
2022-04-28,19075410.0,20229286.034213163
2022-04-29,24878518.0,20776934.876574643
2022-04-30,24600796.0,20440301.730609156
2022-05-01,16616543.0,19841992.893047273
2022-05-02,20378684.0,22907756.355096903
2022-05-03,21992284.0,20529233.976850558
2022-05-04,23757284.0,23112000.824445594
2022-05-05,24932336.0,21922838.825523116
2022-05-06,23283348.0,23837084.088516682
2022-05-07,25412990.0,23356549.24733932
2022-05-08,26723498.0,25493166.844641194
2022-05-09,26782816.0,26539843.575674087
2022-05-10,17749794.0,23048493.84521615
2022-05-11,21983194.0,20641394.687342104
2022-05-12,26257456.0,19363363.095012046
2022-05-13,26848410.0,24791157.406580377
2022-05-14,26335386.0,24883660.12159571
2022-05-15,28090152.0,30105202.60924782
