Fecha,Temperature,Dia,Reconstruida,Ajustados
2023-03-20,290.36356,1175,294.11808934881554,297.0843628761501
2023-03-21,297.37595,1176,296.1399108228624,297.16580227820157
2023-03-22,299.93808,1177,298.348072125998,297.2477786324378
2023-03-23,300.68494,1178,300.2682941597027,297.33026808217227
2023-03-24,302.82275,1179,301.54737446982017,297.4132466213977
2023-03-25,302.389,1180,302.0406781444413,297.49669010177263
2023-03-26,302.86246,1181,301.8337899154754,297.5805742396485
2023-03-27,302.37827,1182,301.19445715086454,297.6648746231373
2023-03-28,300.2176,1183,300.47258712371973,297.74956671921535
2023-03-29,295.70737,1184,299.9815705215366,297.83462588086337
2023-03-30,298.66306,1185,299.8988240826967,297.92002735423875
2023-03-31,301.6081,1186,300.2159982864096,298.00574628587975
2023-04-01,301.07343,1187,300.75248268975986,298.09175772993814
2023-04-02,301.60742,1188,301.2252810631358,298.17803665543903
2023-04-03,302.13135,1189,301.3506739346719,298.2645579535653
2023-04-04,302.42355,1190,300.94385667991224,298.35129644496476
2023-04-05,302.7255,1191,299.98458362754025,298.4382268870778
2023-04-06,296.85306,1192,298.6287800751797,298.52532398148355
2023-04-07,293.20914,1193,297.1639323764012,298.6125623812621
2023-04-08,294.43936,1194,295.9239243636923,298.6999166983708
2023-04-09,295.78098,1195,295.1911768157522,298.7873615110333
2023-04-10,297.29373,1196,295.1168280896691,298.8748713711367
2023-04-11,296.1023,1197,295.68275706097404,298.9624208116386
2023-04-12,297.15033,1198,296.7151393990997,299.0499843539776
2023-04-13,297.73572,1199,297.94275770429044,299.1375365154886
2023-04-14,300.04562,1200,299.0797910614028,299.22505181681834
2023-04-15,301.05334,1201,299.9064119393131,299.3125047893408
2023-04-16,298.76297,1202,300.32286309788594,299.39986998256865
2023-04-17,297.1573,1203,300.36254110831726,299.4871219715601
2023-04-18,300.00198,1204,300.1634126506895,299.574235364318
2023-04-19,300.41437,1205,299.9102119872149,299.6611848091792
2023-04-20,301.6455,1206,299.76817523400337,299.7479450021927
2023-04-21,301.47266,1207,299.83020936461486,299.8344906944833
2023-04-22,299.50427,1208,300.0934605476996,299.9207966995997
2023-04-23,302.13742,1209,300.47059168222523,300.00683790084395
2023-04-24,298.05008,1210,300.8294265261167,300.0925892585813
2023-04-25,299.38065,1211,301.04577712553225,300.17802581752704
2023-04-26,301.28696,1212,301.05090575253195,300.26312271400866
2023-04-27,301.69016,1213,300.85791548721863,300.3478551832022
2023-04-28,302.64743,1214,300.5591073987284,300.43219856633885
2023-04-29,299.559,1215,300.2961935116833,300.5161283178813
2023-04-30,299.37695,1216,300.21393025962266,300.59962001266695
2023-05-01,299.62842,1217,300.41254940048935,300.6826493530162
2023-05-02,301.77634,1218,300.9140377285172,300.7651921758033
2023-05-03,302.0475,1219,301.6522962194967,300.8472244594884
2023-05-04,302.5314,1220,302.4893857461895,300.9287223311085
2023-05-05,303.65067,1221,303.25207104536696,301.0096620732244
2023-05-06,303.77042,1222,303.7771867759602,301.0900201308235
2023-05-07,303.0738,1223,303.952529171321,301.16977311817453
2023-05-08,302.65875,1224,303.7422536436997,301.2488978256331
2023-05-09,302.669,1225,303.1910799328709,301.3273712263963
2023-05-10,303.62625,1226,302.40808585397224,301.405170483204
2023-05-11,303.15067,1227,301.53645802845324,301.4822729549848
2023-05-12,302.0101,1228,300.7187021688976,301.5586562034451
2023-05-13,298.4267,1229,300.066855486115,301.63429799959897
2023-05-14,298.06213,1230,299.6445619860128,301.7091763302374
2023-05-15,299.27255,1231,299.4636171159452,301.7832694043343
2023-05-16,299.78586,1232,299.4932344664227,301.8565556593884
2023-05-17,299.70474,1233,299.6771321256581,301.92901376769805
2023-05-18,301.12616,1234,299.95232439223014,302.0006226425682
2023-05-19,301.39822,1235,300.26427498284806,302.071361444447
2023-05-20,299.13663,1236,300.57524777891274,302.1412095869905
2023-05-21,300.1352,1237,300.86537045663835,302.21014674305354
2023-05-22,301.50616,1238,301.1281983793316,302.2781528506055
2023-05-23,301.31403,1239,301.36381326092237,302.34520811856873
2023-05-24,301.61493,1240,301.5725301942638,302.41129303257804
2023-05-25,302.00803,1241,301.7513489452393,302.4763883606598
